abdomen,"n. 腹部
[医] 腹[部]"
rife,"a. 流行的, 盛传的, 充满的"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
[医] 自发的, 特发的, 自生的"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
[医] 细薄的, 纤细的"
acme,"n. 顶点, 极度, 最高点
[医] 极期"
candor,"n. 坦白, 直率"
dissuade,"vt. 劝阻
[法] 劝阻, 劝止"
gratuitous,"a. 免费的, 无理由的
[经] 无代价的"
impeach,"vt. 控告, 怀疑, 检举, 弹劾
[法] 控告, 检举, 弹劾"
ostensible,"a. 表面的, 假装的, 看得出的
[经] 表面的, 诡称的"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
[医] 污色的"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
drab,"a. 土褐色的, 单调的"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
mitigate,"vt. 温和, 缓和, 减轻
[医] 缓和, 减轻"
pertinent,"a. 相关的, 中肯的, 切题的
[法] 恰当的, 有关的"
predecessor,"n. 前任, 先辈, 前身
[医] 初牙, 前辈, 祖先"
tardy,"a. 慢的, 迟到的, 勉强的, 拖拉的, 迟的"
whet,"n. 磨, 开胃小吃
vt. 磨, 磨快, 刺激, 促进"
acquit,"vt. 无罪释放, 表现, 使履行
[法] 开释, 释放, 免"
brittle,"a. 易碎的, 脆弱的, 易坏的
[机] 脆的, 脆性的, 易碎的"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
extirpate,"vt. 连根拔起, 消灭, 根除, 毁灭"
indulgent,"a. 纵容的, 任性的, 宽容的"
mendacious,"a. 虚假的, 说谎的
[法] 不诚实的, 好说谎的, 虚假的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
[法] 花言巧语的, 似乎有理的"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
adjacent,"a. 毗连的, 邻近的, 连接的
[机] 相邻的, 邻位的, 交界的"
calamity,"n. 灾难, 不幸事件"
devastate,"vt. 毁坏
[法] 使荒废, 毁灭, 掠夺"
exultant,"a. 非常高兴的, 欢欣的"
inexhaustible,"a. 用不完的, 无穷尽的, 不知疲倦的"
maudlin,"a. 容易流泪的, 感伤的, 酒后伤感的
n. 伤感"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
scrupulous,"a. 小心谨慎的, 细心的"
sundry,[网络] 晒干；各种各样的；日晒
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
altruistic,"a. 利他的, 无私心的"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
disintegrate,"vt. (使)分解, (使)碎裂
[医] 分解, 分裂, 蜕变"
forebear,n. 祖先；祖宗
intact,[网络] 完好无缺
molest,"vt. 妨碍, 干扰, 调戏
[法] 调戏, 作弄, 恶意干涉"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
viable,"a. 能养活的, 能生长发育的
[医] 有活力的, 有生机的"
aslant,"adv. 倾斜地，歪着
prep. 倾斜地横在…上
adj. 倾斜的；歪斜的"
concede,"vt. 承认, 退让
vi. 让步"
distrust,"n. 不信任
vt. 不信任"
groggy,"a. 酒醉的, 东歪西倒的, 摇摇晃晃的"
intrepid,adj. 无畏的；勇敢的；勇猛的
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
[医] 散在的, 散发的"
toxic,"a. 有毒的, 中毒的
[医] 中毒的, 毒物的"
avert,vt. 避免，防止；转移
deduce,"vt. 推论, 演绎出
[法] 推断, 推出, 演绎"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
jovial,"a. 快活的, 高兴的, 愉快的
[计] 国际算法语言的朱尔斯文本"
pastime,"n. 消遣, 娱乐, 游戏"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
snug,"a. 舒适的, 温暖的, 整洁的, 紧身的, 隐藏的
vt. 使整洁干净, 使紧身, 隐藏"
umpteen,a. 无数的
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
demolish,"vt. 毁坏, 破坏, 粉碎"
enslave,"vt. 奴役, 束缚, 使受控制, 征服"
impede,"vt. 妨碍, 阻碍, 阻止"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
plaintiff,"n. 原告, 起诉人
[经] 原告, 原起诉人"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
[计] 健壮性"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
[法] 败坏, 污损, 污染"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
[法] 侵害, 使悲痛, 使委屈"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
disapprove,v. 不赞成
fabulous,"a. 传说的, 寓言般的, 难以置信的"
infuriate,"a. 狂怒的
vt. 激怒"
mordant,"a. 尖酸的, 辛辣的, 有腐蚀性的
n. 腐蚀剂, 金属箔粘着剂, 媒染剂
vt. 媒染"
prowess,"n. 英勇, 勇敢, 超凡技术"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
[计] 临时"
amass,"vt. 积聚, 堆积"
colossal,"a. 巨大的, 巨像似的"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
genial,"a. 和蔼的, 亲切的, 友善的
[医] 颏的"
inveterate,"a. 根深的, 成癖的, 积习的
[医] 慢性顽固性的, 绵延难治的"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
[法] 犯法, 罪过, 过错"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
turmoil,"n. 骚动, 混乱"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
[计] 暂停"
assent,"n. 赞成
vi. 同意"
cosy,"a. 温暖舒适的
n. 保暖套"
diversify,"vt. 使多样化, 使变化"
haggard,"n. 野鹰
a. 憔悴的, 形容枯槁的, 野性的"
irreparable,"a. 不能修补的, 不能挽回的
[法] 不可弥补的, 不可挽回的"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
[法] 父系的, 父亲的"
replica,制品，复印，拷贝；仿形
seclusion,"n. 隔离, 隐退"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
bigoted,"a. 盲从的, 固执己见的, 执迷的, 顽固的"
deficient,"a. 不足的, 不充分的, 有缺陷的"
elude,"vt. 逃避, 规避, 把...难倒"
ignoble,"a. 卑贱的, 卑鄙的, 低级的"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
poltroon,"n. 懦夫, 胆小鬼
a. 胆怯的"
rout,"n. 溃败, 大败, 乌合之众, 盛大晚会
vt. 使溃败, 使败逃, 打垮, 用鼻拱, 挖起, 搜, 唤起
vi. 用鼻拱地, 搜"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
[医] 易损的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
despicable,"a. 可鄙的, 卑劣的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
nonplus,"n. 迷惑；困惑
vt. 使困惑"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
acclimate,"vt. 使适应, 使服水土
vi. 服水土, 适应新环境"
assail,"vt. 攻击, 质问
[法] 攻击, 袭击, 著手解决"
congest,"vt. 使充满, 使拥塞, 使充血
vi. 充塞, 充血, 拥挤"
effusive,"a. 感情横溢的, 奔放的, 流出的"
frugal,"a. 节俭的, 朴素的"
insolvent,"n. 破产者；无力偿还者
adj. 破产的；无力偿还的"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
[医] 恶心"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
[经] 履行(契约), 买回, 赎回"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
symmetry,"n. 对称, 匀称
[化] 对称; 对称性; 对称现象"
aggravate,"vt. 使恶化, 使更严重, 加重"
balmy,"a. 芳香的, 温和的, 止痛的
[化] 香脂气味的"
culmination,"n. 顶点, 高潮, 最高点"
endorse,"vt. 支持, 赞同, 背书于, 签署
[经] 赞成, 背书"
hygiene,"n. 卫生保健, 卫生学, 保健法
[医] 卫生, 卫生学"
intangible,"a. 难以明了的, 无形的
[经] 无形的"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
[法] 忘却的, 健忘的, 不在意的"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
simulate,"vt. 模拟, 假装, 模仿
[法] 伪装的, 模拟的; 假装的, 伪装的, 冒充"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
[计] 转录"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
deride,"vt. 嘲弄, 嘲笑"
evaluate,"vt. 评估, 评价, 赋值"
imminent,"a. 即将来临的, 逼近的"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
preponderance,"n. 优势, 多数
[医] 优势"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
specter,"n. 幽灵, 妖怪, 凶兆"
tumult,"n. 骚动, 吵闹, 混乱
[法] 骚乱, 骚动, 暴乱"
apathy,"n. 无感情, 无兴趣, 冷漠
[医] 无情[感], 淡漠"
collide,"vi. 碰撞, 互撞, 抵触"
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
fatuous,"a. 发呆的, 愚笨的"
impudent,"a. 鲁莽的, 卑鄙的, 厚颜无耻的"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
suave,"a. 柔和的, 温和的, 文雅的"
vigilance,"n. 警戒, 警觉, 失眠症
[医] 不眠症, 警醒症"
accelerate,"v. 加速, 促进"
averse,"a. 不愿意的, 反对的"
corroborate,"vt. 巩固, 确证
[法] 确证, 确定, 证实"
encamp,"vi. 扎营, 露营
vt. 使宿营"
humid,"a. 潮湿的, 湿润的, 多湿气的"
irrigation,"n. 灌溉, 冲洗
[医] 冲洗法, 灌溉"
preeminent,"adj. 优秀的
[网络] 卓越的；出类拔萃的"
rudiment,"n. 基础, 入门, 雏形, 退化器官
[医] 原基, 始基, 残遗器官, 痕迹器官, 遗迹"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
versatile,"a. 多才多艺的, 万用的, 万向的"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
[医] 解剖学, 解剖"
brawn,"n. 发达的肌肉, 膂力, 体力, 熟腌肉
[医] 肌质, 肌肉"
dexterity,"n. 灵巧, 机敏"
erupt,"vi. 爆发
vt. 喷出"
hypothesis,"n. 假设
[化] 假设"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
prowess,"n. 英勇, 勇敢, 超凡技术"
scrupulous,"a. 小心谨慎的, 细心的"
suffice,"vi. 足够, 有能力
vt. 满足"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
innovate,"vi. 改革, 创新"
mystify,"vt. 使神秘化, 使难解, 迷惑
[计] 变幻线"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
shimmer,"n. 微光, 闪光
vi. 闪烁
vt. 使闪烁"
technicality,"n. 专门性, 学术性, 技术的使用
[法] 专门的事项, 细节, 用语"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
[法] 对证, 使对质, 比较"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
[医] 入迷"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
irradiate,"vt. 照耀, 启发, 使灿烂, 放射
vi. 发光, 变灿烂"
obstinate,"a. 倔强的, 顽固的, 不让步的"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
[法] 不一致的, 不相当的, 矛盾的"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
abound,"vi. 大量存在, 富于, 充满"
arrogant,"a. 自大的, 傲慢的"
compile,"vt. 编译, 编辑, 编纂, 收集
[计] 编译"
entreat,"v. 恳求, 乞求"
filth,"n. 污秽, 不洁, 猥亵
[法] 污秽, 污物, 淫猥"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
monotony,"n. 单调, 缺乏变化"
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
shaggy,"a. 毛发蓬乱的, 粗浓的, 草木丛生的"
tribulation,"n. 苦难, 困苦, 苦难的缘由"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
autocratic,"a. 独裁的, 专制的"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
encumber,"vt. 妨害, 阻塞, 拖累
[经] 使负(债等), 负有义务"
horrify,"vt. 使恐惧, 使震惊"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
nutrition,"n. 营养, 营养学
[医] 营养, 营养品"
repress,vt.&vi. 再压：重新压印
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
analogy,"n. 相似, 类似
[计] 模拟"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
entangle,"vt. 使纠缠, 卷入, 使混乱"
hibernate,"vi. 过冬, 冬眠, 避寒"
intuition,"n. 直觉, 直觉的知识"
pollute,"vt. 污染, 弄脏, 玷污
[化] 污染"
revere,"vt. 崇敬, 敬畏, 尊敬"
solitary,"adj. 独自的；单独的；喜欢（或惯于）独处的；单个的
n. 独居者
[网络] 孤独的；唯一的；独居的"
valor,"n. 英勇, 刚勇, 勇猛"
antagonist,"n. 敌手, 对手
[化] 对抗物; 拮抗物; 反协同剂; 反协同试剂"
cognizant,"a. 察知的, 认识到的, 有认识能力的
[法] 审理的, 审理权的, 有权审理的"
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
facility,"n. 容易, 灵巧, 设备
[计] 设施; 设备; 装备"
improvise,"vt. 即席创作, 临时做"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
subvert,"vt. 推翻, 颠覆, 毁灭
[法] 颠覆, 推翻, 减亡"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
assiduous,"a. 勤勉的, 刻苦的"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
gaudy,"a. 俗丽的, 华而不实的
n. 盛大宴会"
ignite,"vt. 点燃, 使灼热, 使兴奋"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
respiration,"n. 呼吸, 一口气, 呼吸作用
[化] 呼吸"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
unanimous,"a. 意见一致的, 无异议的"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
[计] 聚合体; 聚集"
banal,"a. 平凡的, 陈腐的"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
enforce,"vt. 强迫, 执行, 坚持
[经] 予以强制执行"
hypocrite,"n. 伪君子, 伪善者"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
[法] 迫害, 虐待, 烦扰"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
superfluous,"a. 多余的, 过剩的"
vindicate,"vt. 辩护, 证明...无辜, 维护
[法] 辩护, 辩解, 辩明"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
chivalry,"n. 骑士精神, 骑士制度"
diagnosis,"n. 诊断
[计] 诊断"
exemplify,"vt. 例证, 例示
[法] 制作经公章证明的誊本, 例证"
impend,"vi. 迫近, 威胁, 悬挂"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
prophecy,"n. 预言, 预言能力"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
tact,接触
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
[法] 报复的, 有报仇心的, 复仇的"
append,"vt. 附加, 增补, 盖章
[计] DOS外部命令:为数据文件(非执行文件)设定一个或多个磁盘路径
当程序执行时, DOS将在所设定的磁盘路径中查找不在当前路径下的文件"
communal,"a. 公有的, 公社的
[法] 公共的, 自治体的, 巴黎公社的"
ecology,"n. 生态学, 社会生态学
[化] 生态学"
forbear,[网络] 牡丹绣球仿真花新娘花球
indifference,[网络] 差异性；具体性很漠然
mediocre,"a. 不好不坏的, 通常, 平凡的"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
singular,"n. 单数
a. 异常的, 单一的"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
[计] 瞬变过程; 过渡过程; 过渡的; 瞬变的; 瞬时峰值电压"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
audacity,"n. 大胆, 厚颜无耻"
contiguity,"n. 接触, 邻近
[医] 接触"
enchant,"vt. 施魔法, 使入迷"
grandeur,"n. 庄严, 伟大, 壮丽"
infer,"vt. 推断；推论
vi. 推断；作出推论"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
remit,"vt. 宽恕, 赦免, 免除, 汇出, 缓解, 减轻, 把...提交, 使恢复原状, 推迟
vi. 缓解, 汇款
n. 移交的事物"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
[法] 怀疑的, 不信的, 怀疑论者的"
urban,"a. 都市的, 住在都市的, 习惯于都市的
[法] 城市的, 都市的, 市区的"
amputate,"vt. 切断, 删除"
bawdy,"a. 淫秽的, 言语猥亵的"
deformity,"n. 残缺, 畸形, 残缺者
[医] 变形, 畸形"
excavate,"v. 挖空, 挖出, 凿通"
harass,"vt. 使困扰, 使烦恼, 折磨"
intoxicate,"vt. 使陶醉, 使喝醉"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
stealthy,"a. 秘密的, 掩人耳目的, 鬼鬼祟祟的
[法] 隐密的, 暗中的"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
annihilate,"vt. 消灭, 废止"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
[计] 编年的, 按年月日顺序的"
divert,"vt. 转移, 使欢娱
vi. 转移"
enhance,"vt. 提高, 加强, 增加"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
[法] 关押, 监禁, 限制"
malice,"n. 恶意, 蓄意害人, 怨恨
[法] 预谋, 蓄意, 恶意"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
satirical,"a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺作品的"
subscribe,"vi. 订阅；捐款；认购；赞成；签署
vt. 签署；赞成；捐助"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
[化] 放射"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
inflict,"vt. 施以, 加害, 使承受
[法] 处, 加, 予以"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
reassure,"vt. 使…安心, 使消除疑虑"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
[计] 连续的; 串行的"
tactics,"n. 用兵学, 战术, 兵法
[经] 战术, 策略"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
blister,[网络] B咖
clatter,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声
vi. 发出哗啦声, 喧闹的谈笑
vt. 使咔嗒咔嗒地响"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
[计] 数字, 数字式"
gash,"n. 深长的伤口, 很深的裂缝
v. (使)负深伤, 划开, 砍入很深"
impunity,"n. 不受惩罚, 无事, 无患
[法] 不受刑罚, 免罚, 免罪"
manure,"n. 肥料, 粪肥
vt. 施肥于"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
[医] 多孔的"
shack,"n. 陋屋, 棚屋
vi. 居住, 暂住"
span,[=starch-polyacrylonitrile]淀粉-聚丙烯腈
twitch,"vi. 急拉, 抽搐, 阵痛
vt. 急拉, 攫取, 抽动
n. 急拉, 抽搐, 阵痛"
armistice,"n. 休战, 停战
[法] 休战, 停战, 停火"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
comity,"n. 礼貌, 礼让
[法] 礼让, 友谊"
dungeon,n. 地牢
gregarious,"a. 社交的, 群居的"
incur,"vt. 招致, 蒙受, 遭遇
[经] 招致, 蒙受, 担负"
mole,分子[量]；摩尔
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
sip,[网络] 肯定命题；矽智财
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
austere,"a. 严峻的, 禁欲的, 简朴的"
bouquet,"n. 花束
[医] 丛, 酒香, 末梢分极"
coral,"香豆磷,蝇毒磷"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
[法] 讨论会, 专题讨论, 公共论坛"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
interject,"vt. 插嘴, 突然插入"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
taper,"n. 带子操作工, 小蜡烛, 尖细, 渐弱, 锥形, 尖塔
a. 尖细的, 分等级的
v. (使)一头逐渐变细, (使)逐渐减少"
via,"prep. 取道，通过；经由
n. (Via)人名；(意、孟)维亚"
barometer,"n. 气压计
[化] 气压计"
comply,"vi. 顺从, 依从
[法] 遵守, 承诺, 照做"
coxcomb,"n. 花花公子, 鸡冠花"
foliage,"n. 树叶, 植物"
hegira,n. 逃亡
lair,[网络] 空气；比翼的爱；妮娜丽姿
nightmare,梦魇
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
sod,"n. 草地, (铺草坪用的)草皮, 故乡
vt. 铺上草皮, 以生草土覆盖"
trash,"n. 垃圾, 废物
vt. 丢弃"
warehouse,"n. 仓库；货栈；大商店
vt. 储入仓库；以他人名义购进（股票）"
belch,"vi. 打嗝, 喷吐
vt. 打嗝, 吼叫着发出(命令), 喷吐
n. 打嗝, 喷吐"
chore,[网络] 岸边
crimson,"n. 深红色
a. 深红色的
v. (使)变为深红色, 脸红"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
horde,"horde
[hɔ:d]
n.
(亚洲等地的)游牧部族(或民族)；游牧部落
(动物的)移动群
(人)群，(大)群，一帮，一伙；多数
vi.
形成游牧部落；过游牧部落生活；成群结队
近义词:
crowd
短语:
a horde of
一群
变形：
vi.
horded
. hording"
linguist,n. 语言学家
petroleum,"n. 石油
[化] 石油"
rumple,"v. 弄皱, 弄得乱七八糟
n. 皱纹, 皱褶"
sneeze,"n. 喷嚏
vi. 打喷嚏"
twine,"n. 合股线, 麻线, 搓
v. 搓, (使)交织, 编饰, (使)缠绕"
whirr,"vi. 发呼呼声, 作飕飕声, 作呼呼声
vi.vt. 呼呼地飞
n. 呼呼声, 嗡嗡声, 飕飕声, 匆忙, 熙攘, 纷乱"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
blackout,"na. 用墨涂掉；使停刊；封锁(新闻)；【戏】使舞台转暗
[网络] 停电；灯火管制；大停电"
cater,"v. 提供饮食及服务, 投合, 迎合"
cram,"adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃
n. 死记硬背；极度拥挤
n. (Cram)人名；(英、德)克拉姆"
fleece,"n. 羊毛, 羊毛制的覆盖物
vt. 剪下羊毛, 诈取"
