Jenny,"n. 纺纱机, 移动吊车, 母驴"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
guessing game, 猜谜
Excuse me. May I have ...?,无
Here you are.,"你已经到了,你要的东西在这儿!"
You're welcome!,[网络] 不客气；别客气；不用谢
See you later.,再见
What about ...?,无
shopping list,n. 购物清单
light blue,[医] 淡蓝
Good afternoon.,下午好
How about ...?,无
look at ...,"看, 考虑, 着眼于"
How many colours do you see?,无
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
in the sky,空中
just right," 恰好, 正好; 不失毫厘; 不差毫发; 初写黄庭"
catch a cold,感冒
ready for ..., 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
be ready for ...,为…作好准备
go back,"回去, 追溯"
put on,"na. 假话
[网络] 穿上；上演；戴上"
go well with,在…进展顺利
take ... all out of,无
look so pretty,无
in black and white,用白纸黑字地写下来
go shopping,去买东西
at the shopping centre,无
a pair of,"一对..., 一付..."
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
listen to,听
wave one's hand,v. 摇手
see red,火冒三丈
How tall is he?,无
How tall is she?,无
He is ... metres tall.,无
She is ... metres tall.,无
a bit,一点儿；有一点儿
How tall are you?,无
I'm ... metres tall.,无
stand against,"反对,经受住"
stand upon,"依靠,视…如何而定,坚持,主张,拘泥(礼貌)"
How do you feel?,无
I'm ...,"na. 'im = him
[网络] 即时通讯(Instant Messaging)；即时通信(Instant Messenger)；即时消息"
I feel ...,无
What's wrong?,无
see a doctor,看医生
Are you OK?,无
I have a stomachache.,无
I have a headache.,[网络] 我头疼；我头痛；我患有头痛
You'd better ...,adj. 你最好…
You had better ...,无
What's the matter?,无
have a cold,患感冒
stay home,呆在家里
have a rest, 休息一下; 歇
What does he look like?,无
What does she look like?,无
look cool,无
look cute,无
look funny,无
look different,无
Time for ...,[网络] 的时间到了；到了该…的时间了；是时候
What's for breakfast?,无
What would you like?,无
I'd like ...,[网络] 我想要
I would like ...,[网络] 我想要；我想要一份小的橄榄比萨；我想要某物
a glass of ..., 一杯
a cup of ...,一杯…
have to," 不得不, 只好; 只得; 必须; 不得已"
Do you want to come with me?,无
be full of ...,充满
what would you like to buy?,无
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
[网络] 写下；写下来；减记"
Good job!,"n. 好运,事业发达"
Are you ready to order?,无
How much is ...?,无
How much are ...?,无
How much for ...?,无
Would you like ...?,无
No problem., 不麻烦;  没什么;  没事儿; 非常容易
a can of ...,[网络] 一罐；一听；一桶儿
a bottle of ..., 一瓶
corner store,〈美〉住宅区附近的商店
Can I help you?,无
Let me see.,"让我看看,让我想想,嗯"
take down,"na. 扯下；卷起；记下；卸下
[网络] 拿下；取下；拆卸"
pass around,[网络] 传送；分，分发；传递
be away,贮藏起来，搁好；离开；不在，缺席
get enough rest,无
watch TV, 看电视
every day, 每天; 日; 天天; 逐日
the Smith family,无
What does she do? She is a ...,无
talk on the police radio,无
walk to school,无
on weekends,[网络] 在周末；每逢周末；每周末
play football,踢足球;对难办的事采取踢足球的态度
be close to ...,"接近于..., 在...附近, 在...左近"
be ready to ...,准备…
work hard at school,无
in front of ...,在...前面
How old is he?,无
How old is she?,无
He is ...,他是
She is ...,无
He is ... years old.,无
She is ... years old.,无
How old are you?,无
I'm ...,"na. 'im = him
[网络] 即时通讯(Instant Messaging)；即时通信(Instant Messenger)；即时消息"
I'm ... years old.,无
go on a picnic,去野餐
a basket of ..., 一篮
lots of ...,"许多的..., 大量的..."
look out,"na. 挑选；注意；看外头；展望 (on；over)
[网络] 当心；小心；留神"
have a birthday party,无
make a birthday card,无
on the front,[网络] 前线
on the front of ...,无
Happy Birthday!,n. 生日快乐
set the table,"摆餐具,摆餐桌"
How can we get there?,无
take Bus 42,无
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get lost,"迷路,迷失方向"
on the way to,在去...的路上
look for,"寻找, 期待"
Go down this street. Turn left at traffic lights.,无
Good luck!, 祝您好运; 大吉大利; 鸿运; 顺风
May I help you?,无
next to,几乎
Yes? What can I do for you?,无
I will take it.,无
go to the zoo,无
make noises,用言语作出表示;口头发表…意见
of course,当然
on the farm,[网络] 在农场；在农场上；在农场里
Come on!,"偶遇, 进步, 发生, 开始, 出场, 快来"
learn about,"学习,听说,得悉,了解"
by bike, 骑自行车；骑单车
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
How is the weather? It is ...,无
go swimming, （去）游泳
have a good time,过得快乐
go skating,去滑冰
Boxing Day,n. 节礼日；圣诞节后的第一个工作日
big sales,无
count down,"倒读数, 用倒数方式计算
[经] 倒数, 递减计算"
Happy New Year!, 新年快乐；新春快乐
What's the date?,无
Sports Day,n. <英>（学校的）运动日
leap year,闰年
International Workers'Day,无
Children's Day,"n. 儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)"
Teachers' Day,教师节
National Day, 国庆日，国庆节；国定纪念日
the Spring Festival, 春节
New Year's Day,元旦
What do you like to do on holidays?,无
watch a movie,[网络] 看电影；看场电影；看一场电影
go mountain climbing,无
Thank you for inviting me.,无
come from,"来自, 出生于"
a lot of,许多的
the Great Wall, 长城; 万里长城
the same ... as ...,"与...相同, 与...一致"
in the corner,"un. 山穷水尽；私下里
[网络] 在角落里；物体内部的角落里；在里面的拐角处"
English-speaking countries,无
all over the world,全世界
a list of ...,"一列, 一栏"
